FIPS,svi_rpl_themes,svi_rpl_theme1,svi_rpl_theme2,svi_rpl_theme3,svi_rpl_theme4,svi_e_totpop,svi_ep_pov150,svi_ep_unemp,svi_ep_nohsdp,svi_ep_uninsur,svi_ep_age65,svi_ep_limeng,svi_ep_minrty,svi_ep_munit,svi_ep_mobile,svi_ep_noveh,svi_ep_groupq
25009207200,0.8688,0.7276,0.9667,0.9332,0.7062,2570,30.9,0.0,33.0,2.8,17.9,24.6,78.4,39.5,0.0,42.5,0.0
25009208101,0.4658,0.7156,0.5122,0.4978,0.0835,5683,14.0,8.5,10.9,2.4,16.5,4.1,24.8,0.0,0.0,2.9,1.5
25009208102,0.3176,0.253,0.5235,0.539,0.2436,3090,10.4,1.6,7.6,0.0,18.9,0.6,27.8,2.6,0.0,6.0,2.8
25009208200,0.4909,0.5782,0.6591,0.3473,0.2411,5395,14.7,0.4,12.3,3.8,21.4,5.6,17.0,12.6,0.0,10.3,0.2
25009208301,0.7514,0.5712,0.7263,0.4834,0.9021,3082,14.9,0.9,12.3,2.3,29.8,1.3,23.9,26.8,5.7,10.0,0.2
25009208302,0.435,0.4608,0.2756,0.5759,0.4369,5283,7.4,3.5,9.6,3.1,22.5,4.9,30.3,8.8,3.2,2.5,0.4
25009208401,0.6761,0.548,0.5788,0.1993,0.9046,3200,19.8,2.4,8.0,2.7,30.9,1.1,11.0,15.5,1.6,1.6,3.3
25009208402,0.3095,0.5248,0.0672,0.3991,0.3992,2833,12.2,3.0,4.2,8.0,11.4,2.0,19.6,16.5,0.0,12.8,0.0
25009209100,0.6114,0.5945,0.7922,0.4622,0.3848,7105,12.3,6.8,2.9,2.8,19.9,4.7,23.0,18.0,0.0,7.6,0.3
25009209200,0.0169,0.0182,0.2599,0.2249,0.0257,5820,4.6,1.8,2.9,0.3,18.6,0.7,11.9,0.0,0.0,2.2,0.2
25009210100,0.1833,0.0891,0.629,0.1455,0.209,6825,6.6,1.5,7.6,0.5,23.5,2.2,9.1,0.0,12.4,0.6,0.3
25009210200,0.1952,0.1224,0.3038,0.0731,0.4545,5371,3.5,3.2,4.7,1.0,24.6,0.0,6.5,0.3,2.4,3.1,2.5
25009210301,0.7677,0.6748,0.5424,0.0637,0.9868,4791,6.0,8.0,6.7,3.0,64.3,1.9,6.2,85.2,4.0,30.9,1.4
25009210302,0.7037,0.4162,0.6309,0.3167,0.9743,4849,11.7,4.1,5.2,0.7,24.6,3.3,15.6,34.6,1.2,3.8,5.4
25009210401,0.6905,0.6234,0.8657,0.7533,0.3804,3325,12.8,1.8,4.6,5.5,23.8,8.0,44.4,18.0,1.7,3.4,0.0
25009210402,0.2605,0.4225,0.6654,0.3011,0.0352,4337,13.5,4.5,8.3,0.2,15.2,2.9,14.9,8.3,0.0,1.4,0.0
25009210500,0.3302,0.4815,0.2053,0.2536,0.3176,7102,12.3,5.1,4.4,3.1,18.9,1.8,13.0,2.8,0.0,7.6,0.4
25009210600,0.6955,0.715,0.8512,0.4354,0.3898,4744,11.6,5.6,9.2,7.9,14.0,4.0,21.8,9.0,0.0,9.5,0.2
25009210700,0.9021,0.8619,0.8788,0.7926,0.8324,4547,17.0,7.1,18.4,5.4,11.3,18.2,48.8,18.4,0.0,10.8,2.2
25009210800,0.8023,0.7778,0.8619,0.7452,0.6114,4261,16.7,4.5,15.3,3.6,20.0,12.9,43.8,39.5,0.0,17.2,0.0
25009210900,0.7282,0.7363,0.9052,0.2648,0.4576,4052,13.6,5.9,18.9,4.1,28.9,7.1,13.4,10.3,0.0,17.5,0.1
25009211100,0.4507,0.6265,0.268,0.2036,0.4093,4015,9.6,9.8,6.3,1.5,30.1,0.2,11.2,15.0,0.0,5.2,7.6
25009211201,0.005,0.0772,0.0596,0.0337,0.0439,2857,3.4,2.8,8.8,0.0,14.5,0.8,4.5,13.9,0.0,0.0,0.0
25009211202,0.3026,0.2793,0.2624,0.2386,0.4639,3646,8.3,4.9,2.4,0.0,16.5,0.5,12.4,14.8,0.0,5.3,0.3
25009211300,0.2844,0.2122,0.2542,0.1043,0.5819,7152,2.7,4.5,4.5,1.7,20.1,0.3,7.7,10.9,0.0,9.8,3.1
25009211401,0.7552,0.4721,0.6503,0.3791,0.9925,4114,13.5,2.5,8.1,0.9,18.4,6.5,18.4,51.0,2.8,7.8,6.6
25009211402,0.4369,0.3183,0.6321,0.2667,0.4708,6126,5.5,4.9,5.2,1.6,24.9,2.7,13.5,8.2,2.4,3.9,0.4
25009212101,0.1965,0.2819,0.1538,0.3473,0.2787,4801,4.9,3.7,13.7,1.1,17.9,3.2,17.0,10.9,0.0,1.2,19.4
