town_key,solar_project_count,solar_capacity_dc_kw,estimated_annual_production_kwh,residential_solar_project_count,solar_capacity_dc_mw
REVERE,1329,11942.451,13877672.116906,1289,11.942450999999998
ROCHESTER,269,20686.685999999998,25223490.820707273,256,20.686685999999998
ROCKLAND,351,6195.281,6922092.808673,338,6.195281
ROCKPORT,256,1848.236,2059642.12229,252,1.8482360000000002
ROWLEY,23,2789.306,3053751.757818182,21,2.789306
SALEM,864,9384.780999999999,10261725.029482858,811,9.384780999999998
SALISBURY,317,9698.074,12286429.464322714,303,9.698074
SAUGUS,931,9766.101,11100966.279305499,906,9.766101
SCITUATE,310,5647.893,6968217.2242600005,299,5.647893
SHARON,585,8283.499,8723517.230904,560,8.283498999999999
SHERBORN,143,1782.415,1964608.623748,130,1.7824149999999999
SHIRLEY,235,22120.702999999998,23647578.260898,216,22.120703
SOMERVILLE,752,10104.103,11918831.535771,707,10.104102999999999
STONEHAM,559,6321.113,7362516.585304182,543,6.321113
STOUGHTON,780,18196.41,20122819.514251,744,18.19641
STOW,97,5272.621999999999,4264922.175572,92,5.272621999999999
SUDBURY,391,8966.582999999999,9960126.260841455,368,8.966582999999998
SWAMPSCOTT,292,2444.699,2692971.792727,283,2.444699
TEWKSBURY,500,9341.704999999998,10955402.592859,483,9.341704999999997
TOPSFIELD,135,1406.424,1559999.10188,125,1.406424
TOWNSEND,392,4411.11,5025355.729636687,378,4.41111
TYNGSBOROUGH,388,18875.962,22012393.31049352,368,18.875962
WAKEFIELD,29,1624.038,1962425.0,27,1.624038
WALPOLE,497,26608.27399999999,30145438.417371836,462,26.60827399999999
WALTHAM,989,18634.272,21392605.936252635,922,18.634272
WAREHAM,979,64092.01388,78037184.48879436,918,64.09201388
WATERTOWN,418,11216.307,13344661.981104,385,11.216307
WAYLAND,430,6146.4305,6684399.311717,408,6.1464305
WELLESLEY,103,987.354,1031000.0,96,0.9873540000000001
WENHAM,92,856.495,898502.353934,88,0.856495
WESTBRIDGEWATER,178,20022.899,24543980.588444445,165,20.022899000000002
WESTFORD,598,11626.042,13330599.952286,572,11.626042
WESTNEWBURY,253,2721.988,2980734.0,249,2.7219879999999996
WESTON,158,4690.758999999999,5581088.089516,145,4.690758999999999
WESTWOOD,357,5250.594,5729901.3993607955,333,5.250594
WEYMOUTH,903,10085.437,11326499.418363,873,10.085437
WHITMAN,308,2613.728,2786884.06291,301,2.613728
WILMINGTON,54,7611.9,8947543.0,44,7.6118999999999994
WINCHESTER,441,4194.233,4784044.543056531,427,4.1942330000000005
WINTHROP,236,2451.046,2811073.67122,230,2.451046
WOBURN,1280,29075.126,33949787.58005742,1197,29.075126
WRENTHAM,331,12311.75,18692398.19453,311,12.31175
