GEOID,tract_name,county,population,median_household_income,poverty_rate,renter_rate,no_vehicle_rate,multifamily_share,rent_burdened_share,svi_rpl_themes,svi_rpl_theme1,svi_rpl_theme2,svi_rpl_theme3,svi_rpl_theme4,public_ev_station_count,public_dc_fast_station_count,public_dc_fast_port_count,nearest_public_ev_station_miles,solar_proxy_municipality,municipal_solar_project_count,municipal_residential_solar_project_count,municipal_solar_capacity_dc_mw,doe_lead_join_status
25023510800,Census Tract 5108,Plymouth,7904.0,75099.0,0.1539938556067588,0.7649301143583227,0.216857263871241,0.83,0.5426356589147286,0.9014,0.9259,0.7659,0.9875,0.774,0,0,0,0.55,BROCKTON,2369,2299,29.462186000000003,not_available
25017350400,Census Tract 3504,Middlesex,6102.0,166831.0,0.0673489600528227,0.4870509607351712,0.1349206349206349,0.8944863149543831,0.3250428816466552,0.0301,0.0929,0.0126,0.4997,0.3139,1,0,0,0.302,SOMERVILLE,752,707,10.104102999999999,not_available
25017350900,Census Tract 3509,Middlesex,3700.0,171433.0,0.0913513513513513,0.6016796640671865,0.2639472105578884,0.827433628318584,0.2871385842472582,0.0716,0.0822,0.0201,0.5028,0.5775,1,0,0,0.118,SOMERVILLE,752,707,10.104102999999999,not_available
25017368600,Census Tract 3686,Middlesex,5688.0,125625.0,0.0443037974683544,0.6308186195826645,0.0373194221508828,0.7928318235525798,0.321882951653944,0.4325,0.5901,0.096,0.6839,0.4313,2,2,2,0.15,WALTHAM,989,922,18.634272,not_available
25017352200,Census Tract 3522,Middlesex,1894.0,90556.0,0.278247096092925,0.8044315992292871,0.4518304431599229,0.927807486631016,0.4802395209580838,0.7144,0.747,0.3001,0.7645,0.7608,1,1,6,0.067,CAMBRIDGE,881,803,10.190912,not_available
25017354700,Census Tract 3547,Middlesex,2841.0,161699.0,0.066571224051539,0.5311740890688259,0.1489878542510121,0.810966810966811,0.3399390243902439,0.1513,0.0465,0.0603,0.6765,0.6208,1,0,0,0.245,CAMBRIDGE,881,803,10.190912,not_available
25017339200,Census Tract 3392,Middlesex,5614.0,197500.0,0.0397675685491193,0.2453959484346224,0.0382136279926335,0.2936133733390484,0.2945590994371482,0.1695,0.3101,0.1255,0.3517,0.2134,0,0,0,0.474,MEDFORD,902,867,8.082967,not_available
25017374200,Census Tract 3742,Middlesex,3958.0,249891.0,0.0096008084891359,0.2406801831262263,0.0333551340745585,0.3047390521895621,0.3342391304347826,0.1638,0.2254,0.4382,0.4472,0.0747,0,0,0,0.482,NEWTON,1445,1369,21.226114000000003,not_available
25017333501,Census Tract 3335.01,Middlesex,5131.0,107234.0,0.0354207436399217,0.2977498691784406,0.0235478806907378,0.3160648874934589,0.5869947275922671,0.5556,0.5304,0.4275,0.5428,0.5694,1,0,0,0.45,WOBURN,1280,1197,29.075126,not_available
25017364101,Census Tract 3641.01,Middlesex,6054.0,126786.0,0.1034027089527585,0.2167563412759416,0.038816295157571,0.212913143735588,0.3599290780141844,0.3616,0.3497,0.7169,0.3136,0.1651,9,1,1,0.178,MAYNARD,395,381,4.6461630000000005,not_available
25017368901,Census Tract 3689.01,Middlesex,6054.0,129236.0,0.0722222222222222,0.3369989357928343,0.0297978006385243,0.4872318692543411,0.3747368421052631,0.6478,0.3766,0.4162,0.5578,0.9542,0,0,0,1.261,WALTHAM,989,922,18.634272,not_available
25017370202,Census Tract 3702.02,Middlesex,3608.0,144653.0,0.0202608936996947,0.255457227138643,0.0294985250737463,0.6097972972972973,0.371824480369515,0.1299,0.2743,0.1645,0.4622,0.1048,5,0,0,0.098,WATERTOWN,418,385,11.216307,not_available
25017315402,Census Tract 3154.02,Middlesex,3248.0,140221.0,0.0283251231527093,0.0788667687595712,0.0,0.0673652694610778,0.2233009708737864,0.0634,0.2373,0.1739,0.1399,0.0609,1,1,6,1.08,TEWKSBURY,500,483,9.341704999999997,not_available
25017311300,Census Tract 3113,Middlesex,4875.0,71450.0,0.3166941370379091,0.7056712132089017,0.1256281407035175,0.720979020979021,0.590030518819939,0.936,0.9303,0.8977,0.9213,0.8092,0,0,0,0.289,LOWELL,1560,1490,17.496131000000002,not_available
25017312502,Census Tract 3125.02,Middlesex,4135.0,119919.0,0.1065633325260353,0.3241626794258373,0.0364832535885167,0.3582535885167464,0.3948339483394834,0.3365,0.3559,0.4212,0.5166,0.2191,0,0,0,1.117,LOWELL,1560,1490,17.496131000000002,not_available
25021417702,Census Tract 4177.02,Norfolk,2696.0,133304.0,0.1068249258160237,0.3525456292026897,0.0951008645533141,0.3371104815864023,0.3869209809264305,0.6692,0.607,0.5028,0.4047,0.8305,5,2,3,0.319,QUINCY,928,875,10.740924000000001,not_available
25021404100,Census Tract 4041,Norfolk,4546.0,207976.0,0.0341823056300268,0.2524937655860349,0.0162094763092269,0.2424058323207776,0.5135802469135803,0.2272,0.0257,0.5261,0.569,0.3779,2,0,0,0.601,WELLESLEY,103,96,0.9873540000000001,not_available
25021441202,Census Tract 4412.02,Norfolk,3100.0,192941.0,0.0239792611795204,0.0377551020408163,0.0071428571428571,0.0316326530612244,0.0,0.0088,0.0132,0.0753,0.1162,0.0954,2,2,14,1.169,WRENTHAM,331,311,12.31175,not_available
25021400700,Census Tract 4007,Norfolk,4121.0,175000.0,0.1074981800533851,0.4650887573964497,0.2692307692307692,0.7473498233215548,0.4427480916030534,0.4388,0.3227,0.1883,0.3598,0.7903,4,0,0,0.243,BROOKLINE,294,277,3.542596,not_available
25021401000,Census Tract 4010,Norfolk,3580.0,138182.0,0.1055007052186177,0.4769959404600812,0.1630581867388362,0.7564698075646981,0.375886524822695,0.4614,0.4601,0.6717,0.6334,0.199,0,0,0,0.466,BROOKLINE,294,277,3.542596,not_available
25021457200,Census Tract 4572,Norfolk,6144.0,201167.0,0.00732421875,0.1414092664092664,0.083011583011583,0.1683394160583941,0.3754266211604095,0.1984,0.0866,0.4601,0.5078,0.2517,4,0,0,0.256,NEEDHAM,819,786,14.545003000000001,not_available
25017980000,Census Tract 9800,Middlesex,0.0,,,,,,,-999.0,-999.0,-999.0,-999.0,-999.0,0,0,0,1.716,STOW,97,92,5.272621999999999,not_available
